,folder_name,Scan_ID,percent_vertical_cover,num_trees,understory_count,midstory_count,overstory_count,understory_percent,midstory_percent,overstory_percent,basal_area_m,max_canopy_height_m
71,05_03_2025,05_03_2025_Setup22,0.723248286,1,2712538,1042453,1439622,0.522182884,0.200679627,0.277137488,7.910736709,28.556
72,05_03_2025,05_03_2025_Setup23,0.321917808,1,2724564,122361,671380,0.774396762,0.034778395,0.190824843,5.11430096,28.268
73,05_03_2025,05_03_2025_Setup24,0.522254652,3,1807387,246864,770187,0.639910311,0.087402874,0.272686814,9.562807174,30.237
74,05_03_2025,05_03_2025_Setup3,0.515200161,2,2752462,144502,1016103,0.703402727,0.036928067,0.259669206,9.839069409,30.788
75,05_03_2025,05_03_2025_Setup4,0.258971429,1,2298786,913736,62501,0.70191446,0.279001399,0.019084141,3.456537577,6.495
76,05_03_2025,05_03_2025_Setup5,0.222304066,0,4311276,175086,49268,0.950535207,0.038602355,0.010862438,0,0
77,05_03_2025,05_03_2025_Setup6,0.444946545,2,1930384,512516,503070,0.655262613,0.173971901,0.170765486,7.356084714,26.506
78,05_03_2025,05_03_2025_Setup7,0.040809328,0,3527521,272,3403,0.998959276,7.70E-05,0.000963696,0,0
79,05_03_2025,05_03_2025_Setup8,0.027680525,0,1896815,323,7720,0.995777638,0.000169566,0.004052796,0,0
80,05_03_2025,05_03_2025_Setup9,0.511852318,3,2838739,87624,756477,0.77080161,0.023792508,0.205405882,10.25937946,27.722
81,05_05_2025,05_05_2025_Setup1,0.246748682,0,3444577,526779,207420,0.824302858,0.126060598,0.049636544,0,0
82,05_05_2025,05_05_2025_Setup10,0.942309456,2,3501242,3272755,1613633,0.417429238,0.390188289,0.192382473,4.128027593,18.093
83,05_05_2025,05_05_2025_Setup11,0.577396254,3,3514550,678140,1069171,0.667929084,0.128878357,0.203192559,6.865941515,21.228
84,05_05_2025,05_05_2025_Setup12,0.572413142,2,3500107,615922,817547,0.709446252,0.124842913,0.165710835,2.863333079,17.204
85,05_05_2025,05_05_2025_Setup13,0.310148233,1,3571392,140367,552561,0.837505628,0.03291662,0.129577752,6.659178472,20.396
86,05_05_2025,05_05_2025_Setup14,0.438534626,1,3525793,468420,777347,0.738918299,0.098169152,0.162912549,2.524120505,15.595
87,05_05_2025,05_05_2025_Setup15,0.622095826,2,3778490,858366,970533,0.673841248,0.153077662,0.17308109,8.259162181,20.486
88,05_05_2025,05_05_2025_Setup16,0.507922953,0,3525172,2338207,721735,0.535324369,0.355074643,0.109600988,0,0
89,05_05_2025,05_05_2025_Setup17,0.784536821,0,3385760,1598489,1253725,0.542765969,0.256251309,0.200982723,0,0
90,05_05_2025,05_05_2025_Setup18,0.597043252,1,2854913,1045306,979557,0.58505001,0.214211882,0.200738108,1.298776103,15.246
91,05_05_2025,05_05_2025_Setup2,0.540926748,5,2317207,1056762,1360212,0.489463119,0.223219602,0.287317278,5.185531281,16.612
92,05_05_2025,05_05_2025_Setup20,0.354454454,3,2683213,151347,832096,0.731787492,0.041276575,0.226935933,13.26155971,30.389
93,05_05_2025,05_05_2025_Setup21,0.201441691,0,3779677,180350,77319,0.936178618,0.044670434,0.019150947,0,0
94,05_05_2025,05_05_2025_Setup22,0.708185436,4,3777382,599840,1477041,0.64523613,0.102462086,0.252301784,30.58580584,37.309
95,05_05_2025,05_05_2025_Setup3,0.461639809,5,2202622,363011,958583,0.624996311,0.103004753,0.271998935,8.610474948,21.317
96,05_05_2025,05_05_2025_Setup4,0.116819441,1,3182893,45312,73635,0.963975541,0.013723257,0.022301202,0.602634315,12.924
97,05_05_2025,05_05_2025_Setup5,0.802783997,0,3585267,2500582,931810,0.510892165,0.356327089,0.132780746,0,0
98,05_05_2025,05_05_2025_Setup6,0.516443701,3,3925358,330886,466591,0.831144429,0.070060885,0.098794686,9.780851882,28.085
99,05_05_2025,05_05_2025_Setup7,0.628255646,1,3863466,2624261,727000,0.535497185,0.363736701,0.100766114,2.415698914,15.221
100,05_05_2025,05_05_2025_Setup8,0.464583524,4,3461410,184909,734593,0.790111739,0.042207878,0.167680383,14.29171205,24.915
101,05_05_2025,05_05_2025_Setup9,0.466027323,0,3301771,1828020,528217,0.583557146,0.323085439,0.093357415,0,0
102,05_06_2025,05_06_2025_Setup1,0.082319925,1,3342558,112593,0,0.967413002,0.032586998,0,2.20444509,6.497
103,05_06_2025,05_06_2025_Setup10,0.000966014,0,2587789,4,1,0.999998068,1.55E-06,3.86E-07,0,0
104,05_06_2025,05_06_2025_Setup11,0.736490664,2,2354957,502601,1356514,0.558831695,0.119267303,0.321901002,10.30516086,25.034
105,05_06_2025,05_06_2025_Setup12,0.115020576,1,1797925,146817,45938,0.903171278,0.073752185,0.023076537,6.315260053,23.824
106,05_06_2025,05_06_2025_Setup13,0.357706246,2,2864961,1187633,331232,0.653529816,0.27091244,0.075557743,1.617112113,11.418
107,05_06_2025,05_06_2025_Setup14,0.559717806,1,3172165,35540,685819,0.814728508,0.009127978,0.176143514,4.15765773,23.118
108,05_06_2025,05_06_2025_Setup15,0.320472295,1,3453153,72873,385983,0.882705791,0.018628025,0.098666184,2.314693992,19.018
109,05_06_2025,05_06_2025_Setup16,0.584703784,3,3097706,253174,1000073,0.711960345,0.058188172,0.229851483,14.4522937,30.184
110,05_06_2025,05_06_2025_Setup17,0.534625499,3,2914132,234278,929780,0.71456504,0.057446563,0.227988397,13.41244315,28.402
111,05_06_2025,05_06_2025_Setup18,0.286396435,1,3257655,368090,194044,0.852836374,0.096363961,0.050799665,1.150078692,13.595
112,05_06_2025,05_06_2025_Setup19,0.354253835,1,140750,124002,207620,0.297964316,0.262509209,0.439526475,2.703555165,19.324
113,05_06_2025,05_06_2025_Setup2,0.082319925,1,3339456,111810,0,0.967603193,0.032396807,0,2.303310606,6.497
114,05_06_2025,05_06_2025_Setup20,0.696651833,2,1323523,249284,1604833,0.41651131,0.078449415,0.505039274,21.64924735,30.996
115,05_06_2025,05_06_2025_Setup21,0.592080841,1,2234093,392109,1645150,0.523041182,0.091799739,0.385159078,5.18981129,21.682
116,05_06_2025,05_06_2025_Setup3,0.327865427,1,3866479,29469,514816,0.876600743,0.006681155,0.116718101,8.134575383,26.166
117,05_06_2025,05_06_2025_Setup4,0.746634146,2,2225814,332940,1383795,0.564562165,0.084447904,0.350989931,10.06369256,30.093
118,05_06_2025,05_06_2025_Setup5,0.864952615,3,1666122,1376150,1976368,0.331986753,0.274207753,0.393805493,9.328625746,28.464
119,05_06_2025,05_06_2025_Setup6,0.302755535,1,1842954,195629,305382,0.786254914,0.083460717,0.130284369,1.335838047,26.008
120,05_06_2025,05_06_2025_Setup7,0.463414634,1,3845208,148973,973692,0.774014956,0.02998728,0.195997764,5.082441334,24.514
121,05_06_2025,05_06_2025_Setup8,0.677806068,2,1289678,497150,1935574,0.346463923,0.133556236,0.519979841,18.72189339,28.89
122,05_06_2025,05_06_2025_Setup9,0.288320356,1,3304506,119651,131816,0.929283209,0.033647893,0.037068898,1.795355014,8.312
123,05_08_2025,05_08_2025_Setup1,0.62906966,2,1590547,138151,1030142,0.576527454,0.050075756,0.37339679,9.06668151,26.65
